URL,Content_title,Contents,Sentiment,Keyword,Count-keyword
https://www.birminghammail.co.uk/sport/football/football-news/birmingham-city-caddis-tait-martins-15428827,"Caddis, Gayle, Tait - The ten best Birmingham City goal celebrations ever","Whether they’ve been shirt-twirlers, knee sliders, dancers or badge-kissers - Birmingham City have had them all down the years. Trevor Francis liked a double arm lift, Christophe Dugarry was a kiss blower and few smiles will ever be as broad as Kevin Phillips’. But for all their grandeur they weren’t legendary celebrators, indeed Mikael Forssell was decidedly understated. When players get it right the celebration can be more memorable than the goal itself, though in truth the it’s a heady cocktail of circumstance and quality which stick in the mind. So we at BirminghamLive have had a go at picking the best goal celebrations in Birmingham City history. They’ve not all derby related honestly but this one takes the Audience Participation award. No sooner had Zigic spooned home the winner and lolloped off to the Tilton, than he was wrestled down in a headlock by Craig Gardner. Seb Larsson arrived on the scene booted the advertising hoardings and then the substitutes started a pile on, finished by an exuberant supporter as the cherry on top. READ: 'In tears' - The day The Saviour rescued Birmingham City READ: Berahino, Mousset, Ladapo - Free agent strikers Birmingham City could sign for nothing this summer Not a goal celebration but one of the most memorable reactions to a final whistle. Redknapp had steered Blues to safety on the final day with a victory at Bristol City. Fans cavorted in the away end for several minutes when Harry was drawn like a moth to the flame, out came the scarf, the fist pumped and he was suddenly 50 years younger. Those scenes tempted him out of semi-retirement. The midfielder cracked home an equaliser in front of the Tilton and flew up the sideline bellowing defiance. As he got closer to the Villa supporters off came the shirt and the enviable torso rippled. It just about trumped the wagging finger at Wolves a couple of seasons later. Barry Fry took his Blues team to the Terriers on the final day of the 1994/95 season knowing a win would put them back in the second tier. With his back to goal ten yards out Claridge spun and somehow rammed the ball past the entire home defence and set off behind the goal in whirl of arms and legs, similar to the way an octopus would attack the Can-Can. Thankfully he was engulfed by supporters before further embarrassment ensued. The youngster lasered in a daisy-cutter from 20 yards, a goal which was enough to put Chris Hughton’s Blues in the Championship play-offs. He then glided towards the visiting supporters and gave it the old snake-hips routine before being engulfed by team-mates. The boy could move. Clinton hooked it goalwards, Sorensen made a mess and off the Londoner went, fingers planted on lips with the other hand pointing at anyone who’d catch his eye, ending in a good old chest-beat Blues were still fuming about the career threatening injury Kevan Broadhurst had suffered at Villa Park earlier that season. They exacted retribution a few months later with a 2-1 victory sealed by Howard Gayle who raced away from the visitors’ defence and stroked home the decisive goal. He then leaped over the hoardings, climbed the fences and stood there, Messianic-like holding on with one hand, pumping the other as Bluenoses celebrated beneath him. What an image. As soon as Ricky Otto’s cross brushed off Tait’s floppy hair and into the Carlisle net Wembley erupted. It was the most golden of goals. And the celebration was even more memorable. The midfielder turned left and went off to the stands in search of the friends old and new. The shirt was ripped off to reveal the legend suggesting toilet-related activities in relation to Blues’ local rivals. Eight years ago today. Obviously the goal meant everything, it saved Blues from relegation. But it’s the scenes it sparked which stand out. In went the ball, out came the pasty Scottish complexion and round and round and round went the shirt as Caddis headed up the touchline and off towards Darren Randolph. Seconds later Lee Clark was haring in the other direction and throwing himself into the crowd. Stern John at Millwall in the play-off semi-finals gets an honourable mention in the shirt swinging category. Who put the ball in Arsenal’s net? Who gave Blues fans the proudest day in club history? Oba-Obafem, Obafemi Martens. He swept the ball into the empty goal, shrugged off Nikola Zigic, zigzagged away from his team-mates then flew into a triple flik-flak as Bluenoses kicked down the gates of heaven. A stunning celebration to go with a simple goal. ",positive,arsenal,1
https://www.birminghammail.co.uk/sport/football/football-news/i-know-aston-villa-ace-23805627,'I know' - Aston Villa ace makes Jack Grealish confession,"Aston Villa midfielder Jacob Ramsey admits that he gets a 'real buzz' when supporters chant his name. The 20-year-old is the latest youngster to break into Villa's first-team ranks and cement his place in the starting XI. Ramsey has enjoyed an exceptional Premier League campaign following on from his breakthrough season last term. He has made 31 league appearances for Villa this season and has started all but one of Steven Gerrard's first 22 games in charge of the club. The England Under-21 has scored six goals and is also the club's joint-second top goal scorer this campaign. READ MORE: The five Aston Villa squad issues Steven Gerrard must sort READ MORE: Dean Smith pinpoints Aston Villa weakness Steven Gerrard must take note of Ramsey put to pen to paper on a bumper five-year deal last week ahead of the game against Norwich City at Villa Park, which Gerrard's side won 2-0 to end a recent winless run. As a product of the Villa academy, the midfielder has been with the club since the age of six and progressed through the ranks. And when asked how much of a lift it gives him when supporters are chanting his name, Ramsey replied: ""Obviously being a local lad, I’ve been going to Villa Park since I was the age of eight now. ""I know what it’s like to sing those songs, when I was singing about Jack (Grealish), so now for the fans to sing it about me, it gives me a real buzz to go out and play. I think especially in front of my friends and family to hear the fans singing my name, it’s a good feeling."" Speaking of Ramsey, Villa boss Gerrard told BirminghamLive: ""I've been very aware of the Ramseys because of how well this club did in the Youth Cup. They obviously played Liverpool in the final and I was aware of the commentators speaking of the Ramsey brothers, also the Carneys (Chukwuemeka) and Tims (Iroegbunam), those around the game. ""It probably wasn't until Arsenal away where he curled one into the top corner. I really liked the technique of that goal. I think that was the moment where I thought, 'Ooh!' ""To score a goal like that, in an environment like that at Arsenal at that age, that is normally a moment, being a lover of the game, where it makes you think, 'Hang on a minute, this kid might be a player!' ""Then, obviously Dean (Smith) played him some more before I arrived but it's not until you get up close and personal with someone on the training pitch and you see his level and potential, you see the human being... That's when you get really excited about the talent. ""I've said it quite a bit. I don't want to keep talking JJ up. I want him to play his football and to protect him and manage him in the best possible way but, without a doubt, he's someone I want to build around this club moving forward."" ",positive,arsenal,2
https://www.birminghammail.co.uk/sport/football/football-news/aston-villa-arsenal-interested-major-23846684,Aston Villa and Arsenal 'interested' in major bid,"Aston Villa's stadium, Villa Park, is reportedly being considered to host next season's Community Shield. This year’s Community Shield won’t feature Villa after Steven Gerrard's side were knocked out of the FA Cup in the third round, and they are of course not in the hunt for the Premier League title. But the club still could be involved in the final with Villa Park potentially being the host venue. The match is scheduled for July 31, but that means Wembley Stadium will be unavailable due to hosting the women’s European final being played on the same day. According to the  Daily Mail , Elland Road, Arsenal's Emirates Stadium and Villa Park, which was selected as the venue in 2012, are all 'interested' in hosting. READ MORE: The five Aston Villa squad issues Steven Gerrard must sort READ MORE: Fresh Carney Chukwuemeka transfer claims emerge amid Aston Villa uncertainty Though, the report claims that officials are 'likely to be disappointed', with Leicester City's King Power Stadium the favourite to be chosen. City's stadium is reportedly the ‘frontrunner’ to host the Community Shield. The final will take place between the FA Cup winners, Liverpool or Chelsea, and the Premier League champions, Liverpool or Man City. If Liverpool win both competitions, then Jurgen Klopp’s team will play second placed Man City. The news comes as the club are due to press ahead with their plans to increase Villa Park's capacity from 42,785 to above 55,000. Villa have more than 20,000 fans on the club's current waiting list for season tickets with the club selling out each and every home game this season. ",positive,arsenal,1
https://www.birminghammail.co.uk/sport/football/football-news/birmingham-city-st-andrews-stadium-23843590,Birmingham City's best and worst away days with Fulham and Hull standing apart,"We all have a favourite football ground, usually the home of the team we support. And whether it is a shining example of everything a football ground should be or a right dump doesn’t matter. After all, it is our dump and that’s what counts. Of course, Blues fans have something of a love-hate relationship with St Andrew’s for a while now, or at least with those people tasked with keeping the famous old ground in reasonably decent nick. Blues have been operating at a reduced capacity for the whole of the 2021/2022 campaign, with the ground requiring expensive remedial works. But whatever the rights and wrongs behind the problems at St Andrew’s, it remains the their spiritual home and means just as much to most supporters as the swankiest of big-money stadiums at the likes of Spurs and Arsenal. READ MORE: 'We're happy' - Manager addresses striker future amid Birmingham City links READ MORE: Birmingham City fans left baffled by 'update on update we are waiting for' on St Andrew's safety work But then there are those other grounds we have a hankering for - those of footballing foes which spark warm feelings because of a brilliant victory there or a favourite incident, the culmination of a promotion success or huge cup upset. These days, as more and more modern stadia spring up across the country, another category of favourite springs to mind - those old-fashioned grounds that help carry us back to another era, complete with towering stands, hostile crowds thrust right to the edge of the pitch and the brilliant atmospheres that football should be all about. So, our question to you is what are you favourite football grounds and which are the ones you loathe? For Blues fans, St Andrew’s is always going to be the beating heart, even if two of those heart chambers aren’t even functioning at present. The reopening of the lower tiers in the Kop and Tilton stands cannot come quickly enough because something needs to be done about the atmosphere. But where else do Blues fans feel ‘at home’? Blues writer Brian Dick says: “The recent trip to Blackpool, a sunny Easter weekend by the seaside, was a real opportunity for 3,500 supporters to let their hair down. Unfortunately the team let them down too. “The biennial trips to yo-yo club Fulham are always fun, Blues take a huge following and pack out the away end. Crossing the city to the other place is always something to look forward to. Derby away is always, always eventful.” So they are the good grounds, but what of the ones Blues fans dislike? Brian adds: “In terms of stadiums Blues fans loathe, it depends to be more a personal thing. Reading away is pretty soulless, matches tend to be midweek 8pm kick-offs in a half empty gr0und. “Blackburn’s Ewood Park is always cold and Hull is a long journey, there’s nothing remarkable about the ground and results are always terrible. Elsewhere, West Ham’s London Stadium isn’t really fit for purpose as a football venue.” Now it's time for you say. If the survey below doesn't load, click here. As always, you can also voice your opinion in our comments section. ",positive,arsenal,1
https://www.birminghammail.co.uk/sport/football/football-news/birmingham-city-caddis-tait-martins-15428827,"Caddis, Gayle, Tait - The ten best Birmingham City goal celebrations ever","Whether they’ve been shirt-twirlers, knee sliders, dancers or badge-kissers - Birmingham City have had them all down the years. Trevor Francis liked a double arm lift, Christophe Dugarry was a kiss blower and few smiles will ever be as broad as Kevin Phillips’. But for all their grandeur they weren’t legendary celebrators, indeed Mikael Forssell was decidedly understated. When players get it right the celebration can be more memorable than the goal itself, though in truth the it’s a heady cocktail of circumstance and quality which stick in the mind. So we at BirminghamLive have had a go at picking the best goal celebrations in Birmingham City history. They’ve not all derby related honestly but this one takes the Audience Participation award. No sooner had Zigic spooned home the winner and lolloped off to the Tilton, than he was wrestled down in a headlock by Craig Gardner. Seb Larsson arrived on the scene booted the advertising hoardings and then the substitutes started a pile on, finished by an exuberant supporter as the cherry on top. READ: 'In tears' - The day The Saviour rescued Birmingham City READ: Berahino, Mousset, Ladapo - Free agent strikers Birmingham City could sign for nothing this summer Not a goal celebration but one of the most memorable reactions to a final whistle. Redknapp had steered Blues to safety on the final day with a victory at Bristol City. Fans cavorted in the away end for several minutes when Harry was drawn like a moth to the flame, out came the scarf, the fist pumped and he was suddenly 50 years younger. Those scenes tempted him out of semi-retirement. The midfielder cracked home an equaliser in front of the Tilton and flew up the sideline bellowing defiance. As he got closer to the Villa supporters off came the shirt and the enviable torso rippled. It just about trumped the wagging finger at Wolves a couple of seasons later. Barry Fry took his Blues team to the Terriers on the final day of the 1994/95 season knowing a win would put them back in the second tier. With his back to goal ten yards out Claridge spun and somehow rammed the ball past the entire home defence and set off behind the goal in whirl of arms and legs, similar to the way an octopus would attack the Can-Can. Thankfully he was engulfed by supporters before further embarrassment ensued. The youngster lasered in a daisy-cutter from 20 yards, a goal which was enough to put Chris Hughton’s Blues in the Championship play-offs. He then glided towards the visiting supporters and gave it the old snake-hips routine before being engulfed by team-mates. The boy could move. Clinton hooked it goalwards, Sorensen made a mess and off the Londoner went, fingers planted on lips with the other hand pointing at anyone who’d catch his eye, ending in a good old chest-beat Blues were still fuming about the career threatening injury Kevan Broadhurst had suffered at Villa Park earlier that season. They exacted retribution a few months later with a 2-1 victory sealed by Howard Gayle who raced away from the visitors’ defence and stroked home the decisive goal. He then leaped over the hoardings, climbed the fences and stood there, Messianic-like holding on with one hand, pumping the other as Bluenoses celebrated beneath him. What an image. As soon as Ricky Otto’s cross brushed off Tait’s floppy hair and into the Carlisle net Wembley erupted. It was the most golden of goals. And the celebration was even more memorable. The midfielder turned left and went off to the stands in search of the friends old and new. The shirt was ripped off to reveal the legend suggesting toilet-related activities in relation to Blues’ local rivals. Eight years ago today. Obviously the goal meant everything, it saved Blues from relegation. But it’s the scenes it sparked which stand out. In went the ball, out came the pasty Scottish complexion and round and round and round went the shirt as Caddis headed up the touchline and off towards Darren Randolph. Seconds later Lee Clark was haring in the other direction and throwing himself into the crowd. Stern John at Millwall in the play-off semi-finals gets an honourable mention in the shirt swinging category. Who put the ball in Arsenal’s net? Who gave Blues fans the proudest day in club history? Oba-Obafem, Obafemi Martens. He swept the ball into the empty goal, shrugged off Nikola Zigic, zigzagged away from his team-mates then flew into a triple flik-flak as Bluenoses kicked down the gates of heaven. A stunning celebration to go with a simple goal. ",positive,arsenal,1
https://www.birminghammail.co.uk/sport/football/football-news/aston-villa-arsenal-interested-major-23846684,Aston Villa and Arsenal 'interested' in major bid,"Aston Villa's stadium, Villa Park, is reportedly being considered to host next season's Community Shield. This year’s Community Shield won’t feature Villa after Steven Gerrard's side were knocked out of the FA Cup in the third round, and they are of course not in the hunt for the Premier League title. But the club still could be involved in the final with Villa Park potentially being the host venue. The match is scheduled for July 31, but that means Wembley Stadium will be unavailable due to hosting the women’s European final being played on the same day. According to the  Daily Mail , Elland Road, Arsenal's Emirates Stadium and Villa Park, which was selected as the venue in 2012, are all 'interested' in hosting. READ MORE: The five Aston Villa squad issues Steven Gerrard must sort READ MORE: Fresh Carney Chukwuemeka transfer claims emerge amid Aston Villa uncertainty Though, the report claims that officials are 'likely to be disappointed', with Leicester City's King Power Stadium the favourite to be chosen. City's stadium is reportedly the ‘frontrunner’ to host the Community Shield. The final will take place between the FA Cup winners, Liverpool or Chelsea, and the Premier League champions, Liverpool or Man City. If Liverpool win both competitions, then Jurgen Klopp’s team will play second placed Man City. The news comes as the club are due to press ahead with their plans to increase Villa Park's capacity from 42,785 to above 55,000. Villa have more than 20,000 fans on the club's current waiting list for season tickets with the club selling out each and every home game this season. ",positive,arsenal,1
https://www.eurosport.com/football/transfers/2020-2021/lautaro-martinez-arsenal-to-rival-man-utd-for-inter-striker-with-champions-league-a-potential-factor_sto8909505/story.shtml,Lautaro Martinez: Arsenal to rival Man Utd for Inter striker with Champions League a potential factor – Paper Round,"Tuesday’s Paper Round leads on The Times’ report regarding Arsenal and their interest in Lautaro Martinez, the Inter striker who is also wanted by Manchester United. Elsewhere, Kalvin Phillips must wait for a new deal at Leeds, Sergej Milinkovic-Savic makes the gossip columns again, and a Derby youngster is wanted by a handful of Premier League clubs. ",negative,arsenal,1
https://www.eurosport.com/football/premier-league/2021-2022/flares-saves-and-fireworks-the-premier-league-s-manic-may-kicks-off-with-a-bang-the-warm-up_sto8908280/story.shtml,"Flares, saves and fireworks: The Premier League's Manic May kicks off with a bang - The Warm-Up","A huge win for Everton threw a cat among the Premier League relegation battle pigeons, while Arsenal and Tottenham are heading for that conveniently timed derby to decide fourth place in the table. Elsewhere, an unreal free-kick in the FA Women's Championship, and league title joy in Turkey (and Spain). ",positive,arsenal,1
https://www.eurosport.com/football/transfers/2021-2022/chelsea-could-lose-mason-mount-and-christian-pulisic-this-summer-as-juventus-lurk-paper-round_sto8908271/story.shtml,Chelsea could lose Mason Mount and Christian Pulisic this summer as Juventus lurk - Paper Round,"Chelsea midfield pair Christian Pulisic and Mason Mount could both potentially leave Stamford Bridge this summer with the American on the sidelines and Mount unable to sign a new deal. Elsewhere, Arsenal are set to watch Renato Sanches join AC Milan, and Manchester United may pay Anthony Martial to leave. ",positive,arsenal,1
https://www.eurosport.com/football/premier-league/2021-2022/west-ham-united-v-arsenal-premier-league-live_sto8905109/story.shtml,West Ham 1-2 Arsenal: Gunners make Champions League statement with Hammers win,"West Ham United 1 (Bowen, 45')  v Arsenal 2 (Holding, 38', Gabriel, 54') - Premier League LIVE ",positive,arsenal,1
