URL,Content_title,Contents,Sentiment,Keyword
https://www.birminghammail.co.uk/sport/football/football-news/aston-villa-arsenal-interested-major-23846684,Aston Villa and Arsenal 'interested' in major bid,"Aston Villa's stadium, Villa Park, is reportedly being considered to host next season's Community Shield. This year’s Community Shield won’t feature Villa after Steven Gerrard's side were knocked out of the FA Cup in the third round, and they are of course not in the hunt for the Premier League title. But the club still could be involved in the final with Villa Park potentially being the host venue. The match is scheduled for July 31, but that means Wembley Stadium will be unavailable due to hosting the women’s European final being played on the same day. According to the  Daily Mail , Elland Road, Arsenal's Emirates Stadium and Villa Park, which was selected as the venue in 2012, are all 'interested' in hosting. READ MORE: The five Aston Villa squad issues Steven Gerrard must sort READ MORE: Fresh Carney Chukwuemeka transfer claims emerge amid Aston Villa uncertainty Though, the report claims that officials are 'likely to be disappointed', with Leicester City's King Power Stadium the favourite to be chosen. City's stadium is reportedly the ‘frontrunner’ to host the Community Shield. The final will take place between the FA Cup winners, Liverpool or Chelsea, and the Premier League champions, Liverpool or Man City. If Liverpool win both competitions, then Jurgen Klopp’s team will play second placed Man City. The news comes as the club are due to press ahead with their plans to increase Villa Park's capacity from 42,785 to above 55,000. Villa have more than 20,000 fans on the club's current waiting list for season tickets with the club selling out each and every home game this season. ",positive,chelsea
https://www.birminghammail.co.uk/sport/football/football-news/aston-villa-arsenal-interested-major-23846684,Aston Villa and Arsenal 'interested' in major bid,"Aston Villa's stadium, Villa Park, is reportedly being considered to host next season's Community Shield. This year’s Community Shield won’t feature Villa after Steven Gerrard's side were knocked out of the FA Cup in the third round, and they are of course not in the hunt for the Premier League title. But the club still could be involved in the final with Villa Park potentially being the host venue. The match is scheduled for July 31, but that means Wembley Stadium will be unavailable due to hosting the women’s European final being played on the same day. According to the  Daily Mail , Elland Road, Arsenal's Emirates Stadium and Villa Park, which was selected as the venue in 2012, are all 'interested' in hosting. READ MORE: The five Aston Villa squad issues Steven Gerrard must sort READ MORE: Fresh Carney Chukwuemeka transfer claims emerge amid Aston Villa uncertainty Though, the report claims that officials are 'likely to be disappointed', with Leicester City's King Power Stadium the favourite to be chosen. City's stadium is reportedly the ‘frontrunner’ to host the Community Shield. The final will take place between the FA Cup winners, Liverpool or Chelsea, and the Premier League champions, Liverpool or Man City. If Liverpool win both competitions, then Jurgen Klopp’s team will play second placed Man City. The news comes as the club are due to press ahead with their plans to increase Villa Park's capacity from 42,785 to above 55,000. Villa have more than 20,000 fans on the club's current waiting list for season tickets with the club selling out each and every home game this season. ",positive,chelsea
https://www.birminghammail.co.uk/sport/football/football-news/wolves-brighton-bruno-lage-europe-23835492,Despair for Bruno Lage after Wolves' damaging defeat to Brighton dents European ambitions,"Match report Wolverhampton Wanderers’ European dream is in tatters after Brighton walloped them 3-0 at Molineux. Alexis Mac Allister opened the scoring with a first half penalty having missed an earlier spot-kick. Leandro Trossard and Yves Bissouma piled on the misery for Wolves after half-time with well taken goals. Wolves have now lost seven of their last 10 Premier League games and missed another opportunity to draw level on points with seventh-placed West Ham. Bruno Lage’s team face Chelsea, Manchester City, Norwich City and Liverpool in their remaining four fixtures. READ:  Bruno Lage slams players for 'watching' Brighton in worst Wolves game What Bruno Lage said ""It was 90 minutes that we didn’t play. We watched Brighton play. ""I don’t understand that when we arrive at this point, with a lot of things to conquer, we appear with a performance like that. It was so disappointing. ""It’s clear to me that when you come to this position, with a lot of things to conquer, we didn’t play. It was our worst performance. The first half was balanced but we conceded two big chances to them - two penalties - from one cross and one long ball. ""When little things come together it makes a massive difference we had a long period where we were playing with one team, now we are playing with players who didn’t start the season with us. The positions are not the same, so the decisions are not the same."" READ: Bruno Lage given nightmare injury blow during Wolves vs Brighton What Graham Potter said ""(It was a) Great effort by the boys, kept a clean sheet, fantastic,"" said Potter, via  SussexWorld . ""The personality of the players, the team, everything about the performance I really liked. ""We have had some good away days this year and that [the Wolves win] was up there. You could see the second half performance was up another level from the first. ""The boys looked hungry to score, enthusiastic to get forward. It was important for us to keep a clean sheet because we didn't want to let them back into the game and I thought we managed the situation quite well. ""(We) Defended when we had to and offered a threat on the way forward, and nice to score three goals."" READ: ‘Unacceptable’ - Wolves fans fume as summer transfer demand sent after Brighton defeat What the fans said Clive Whittall: Maybe Wolves need to sack Bruno Lage now, like Burnley did with Sean Dyche, and get themselves back into Europe in the last four games? Isaac Hobbs: Brings into sharp relief the fact we need at least 4 starting XI players in the door otherwise we’ll be fighting for our lives next season. That shambles may yet be a blessing. Angrier about how we’ve thrown in the towel post-Leeds. James Croft: Lucky we’re as high as we are. Certain players need to be sold. David Gilliver: From the outside looking in, is 8th place not on? Who in the top, 7, should you be finishing above? Andy Wolfie: Not our best performance...hope they can turn this around for the final few games. Bill Bradburn: Far too many losses against lower teams. Up next Wolves will look to get back to winning ways when they travel to Stamford Bridge to take on Chelsea next weekend. ",positive,chelsea
https://www.eurosport.com/football/premier-league/2021-2022/see-what-next-year-brings-chelsea-s-german-forward-kai-havertz-hopes-to-one-day-lift-ballon-d-or_sto8908896/story.shtml,'See what next year brings' - Chelsea's German forward Kai Havertz hopes to one day lift Ballon d'Or,"Chelsea forward Kai Havertz surprised a young fan of his club as part of the Premier League's marketing drive, and was asked if he would one day win the Ballon d'Or, perhaps the greatest individual honour in football. Reluctant to offer any certainty, he instead said that he may be able to win it at some point in the future. ",positive,chelsea
https://www.eurosport.com/football/transfers/2021-2022/chelsea-could-lose-mason-mount-and-christian-pulisic-this-summer-as-juventus-lurk-paper-round_sto8908271/story.shtml,Chelsea could lose Mason Mount and Christian Pulisic this summer as Juventus lurk - Paper Round,"Chelsea midfield pair Christian Pulisic and Mason Mount could both potentially leave Stamford Bridge this summer with the American on the sidelines and Mount unable to sign a new deal. Elsewhere, Arsenal are set to watch Renato Sanches join AC Milan, and Manchester United may pay Anthony Martial to leave. ",positive,chelsea
https://www.eurosport.com/football/premier-league/2021-2022/everton-v-chelsea-premier-league-live_sto8905072/story.shtml,Premier League result - Richarlison grabs winner as Everton claim crucial win over Chelsea,"Premier League, Goodison Park - Everton 1 (Richarlison 56') Chelsea 0 ",neutral,chelsea
https://www.eurosport.com/football/eric-dier-caught-short-gareth-bale-excited-that-carabao-really-is-something-the-warm-up_sto7913837/story.shtml,"Eric Dier caught short, Gareth Bale excited, that Carabao really is something - The Warm-Up","Tottenham’s Eric Dier was caught short during his side’s penalty shootout victory over Chelsea in the Carabao Cup. Jose Mourinho didn’t seem to mind after all. There’s been a signing in Manchester, but for City not United. And down in the National League Macclesfield Town have been expelled, a worry sign of things to come lower down the leagues. ",negative,chelsea
https://www.eurosport.com/football/transfers/2020-2021/manchester-united-make-12m-bid-for-alex-telles-paper-round_sto7911494/story.shtml,Manchester United make £12m bid for Alex Telles - Paper Round,"Manchester United bid £12 million for Porto defender Alex Telles, Newcastle take Florent Indalecio on trial, Mesut Ozil loses his squad number in anticipation of Houssem Aouar, and Ruben Loftus-Cheek may leave Chelsea on loan. ",neutral,chelsea
https://www.eurosport.com/football/premier-league/2020-2021/kepa-arrizabalaga-has-not-played-his-last-game-for-chelsea-says-frank-lampard_sto7910330/story.shtml,"Kepa Arrizabalaga has not played his last game for Chelsea, says Frank Lampard","With new signing Edouard Mendy ready to make his debut, Frank Lampard launched an impassioned defence of under-fire goalkeeper Kepa Arrizabalaga, saying the Spaniard still has a future at Chelsea. ",positive,chelsea
https://www.eurosport.com/football/premier-league/2020-2021/thiago-silva-god-helped-me-chose-chelsea-they-are-the-best-in-england_sto7909867/story.shtml,"Thiago Silva: God helped me chose Chelsea, they are the best in England","We all need some divine intervention from time to time, with Thiago Silva no different, as he revealed he got a little help when deciding whether to join Chelsea, who the Brazilian believes are the ""best in England"". ",positive,chelsea
