,Hashtag,Username,Date,Tweet,retweet,Word_count,Key_word_count,Sentiment,RelateHashtag,Followers_count,tweet link
0,#Liverpool,BirdiesBro,2022-05-03 22:09:33,what a time to be a red lfc liverpool championsleague,0,28,1,neutral,"['#LFC', '#Liverpool', '#ChampionsLeague']",305,https://twitter.com/twitter/statuses/1521612956223647744
1,#Liverpool,KellyChukwudi,2022-05-03 22:09:11,we are coming liverpool,0,10,1,neutral,['#Liverpool'],108,https://twitter.com/twitter/statuses/1521612861453307904
2,#Liverpool,devckar,2022-05-03 22:09:08,really wish i could be in paris for the finals but fate has me back home exactly during the final theres no place like then bring it on liverpool,0,85,1,neutral,['#Liverpool'],415,https://twitter.com/twitter/statuses/1521612849939984385
3,#Liverpool,raspinstuwart,2022-05-03 22:09:00,whatever gets you through the night rumblin amp tumblin barros liverpool london palmsprings lgbtq pride2022 retweeet np,0,50,1,neutral,"['#Liverpool', '#London', '#palmsprings', '#LGBTQ', '#pride', '#RETWEEET', '#np']",4265,https://twitter.com/twitter/statuses/1521612817568129024
4,#Liverpool,Jack_camarda8,2022-05-03 22:08:53,in 5 years weve reached 3 champions league finals jurgen klopp liverpool championsleague,0,37,1,neutral,"['#Liverpool', '#ChampionsLeague']",353,https://twitter.com/twitter/statuses/1521612787927195659
5,#Liverpool,blaq_a,2022-05-03 22:08:46,mighty redynwa liverpool,1,7,1,neutral,"['#YNWA', '#Liverpool']",405,https://twitter.com/twitter/statuses/1521612758554333184
6,#Liverpool,FossilFreeFoot,2022-05-03 22:08:42,congrats reds by the way liverpool paris is a great train trip can and make sure all the fans can travel climate friendly by train championsleague villiv liverpool,0,82,2,positive,"['#ChampionsLeague', '#VILLIV', '#Liverpool']",265,https://twitter.com/twitter/statuses/1521612741592633345
7,#Liverpool,BENJIZEE,2022-05-03 22:08:34,in a vengeance mood liverpool realmadrid villarealliverpool ucl,0,22,1,neutral,"['#Liverpool', '#RealMadrid', '#villarealliverpool', '#UCL']",477,https://twitter.com/twitter/statuses/1521612707128094722
8,#Liverpool,mahrteenz,2022-05-03 22:08:05,lets go lads rmamci uefa liverpool parishala madrid,0,22,1,neutral,"['#RMAMCI', '#UEFA', '#Liverpool']",2312,https://twitter.com/twitter/statuses/1521612587921723393
9,#Liverpool,fplZOMBIE,2022-05-03 22:07:58,nothing like the mad scramble of looking for hotelstrainsflightsferries for european games liverpool,0,37,1,negative,['#Liverpool'],269,https://twitter.com/twitter/statuses/1521612556791595008
