,Hashtag,Username,Date,Tweet,retweet,Word_count,Key_word_count,Sentiment,RelateHashtag,Followers_count,tweet link
0,#Liverpool,TrueCrimeICU,2022-05-02 23:44:39,hey liverpool do you have a truecrime story realstory,0,25,1,neutral,"['#Liverpool', '#realstory']",556,https://twitter.com/twitter/statuses/1521274498720288769
1,#Liverpool,HocineBoulkour,2022-05-02 23:43:44,uefa champions league semifinal return tonight at 7 pm gmt viallreal liverpoolliverpool will certainly be the first finalist for this 20212022 season also whithout any difficulty,1,76,0,positive,['#Liverpool'],20,https://twitter.com/twitter/statuses/1521274270676131840
2,#Liverpool,profbuchan,2022-05-02 23:41:56,think global live local connect deeply thanks for pointing out this great discussion of regenerative systems gets to the heart of the purposeled innovation we are pursuing in liverpool,2,85,1,positive,['#Liverpool'],3571,https://twitter.com/twitter/statuses/1521273816176943116
3,#Liverpool,karanjitutsav,2022-05-02 23:30:19,any thoughts on mason mount masonmountfantasypremierleague fpl premierleague fplcommunity fantasyfootball fpltips football fplscout epl fantasypl soccer pl fplfamily englishpremierleague fantasy fplindia liverpool chelsea fplindonesia gw fplmanager,0,76,1,neutral,"['#MasonMount', '#fantasypremierleague', '#fpl', '#premierleague', '#fplcommunity', '#fantasyfootball', '#fpltips', '#football', '#fplscout', '#epl', '#fantasypl', '#soccer', '#pl', '#fplfamily', '#englishpremierleague', '#fantasy', '#fplindia', '#liverpool', '#chelsea', '#fplindonesia', '#gw', '#fplmanager']",47,https://twitter.com/twitter/statuses/1521270893560823808
4,#Liverpool,VerpissSport,2022-05-02 23:29:45,if anyone follows right now i will follow them back manutd liverpool arsenal mancity chelsea spurs eventon premierleague championsleague football facup,0,61,1,positive,"['#manutd', '#Liverpool', '#arsenal', '#ManCity', '#Chelsea', '#spurs', '#eventon', '#PremierLeague', '#championsleague', '#football', '#facup']",18,https://twitter.com/twitter/statuses/1521270751994781696
5,#Liverpool,MissyClarke,2022-05-02 23:24:26,in other news this woman is a fucking legend live in liverpool tonight and didnt disappoint a mere 77 and still rocking it blowing all pretenders and followers out of the water debbie you are still my biggest girl crush blondie,1,121,1,negative,"['#Liverpool', '#Blondie']",627,https://twitter.com/twitter/statuses/1521269413168746501
6,#Liverpool,CCEAMmembers,2022-05-02 23:24:04,join us in liverpool for the 2022 belmas cceam conference july 810 leadership for global citizenshipinformation available,0,49,1,neutral,"['#Liverpool', '#BELMAS', '#CCEAM', '#BELMAS', '#BELMAS']",960,https://twitter.com/twitter/statuses/1521269320805928966
7,#Liverpool,NicoleWilliamsW,2022-05-02 23:23:42,debbie liverpool thank you for blowing a kiss to my girl tonight at the end debbie she got tommys guitar pick,0,61,1,neutral,['#Liverpool'],1133,https://twitter.com/twitter/statuses/1521269228803960832
8,#Liverpool,DarenceChan,2022-05-02 23:14:38,tonight another watchalong no badminton champions league live from 750pm 250am liverpool travel to villarreal to continue their bid for a quadruplelive link is here see you tomorrowliverpool villarreal villiv ucl,0,93,1,positive,"['#Liverpool', '#Villarreal', '#VILLIV', '#UCL']",136,https://twitter.com/twitter/statuses/1521266946087731201
9,#Liverpool,retweetallowed,2022-05-02 23:10:05,oh my liverpools killing the other one tomorrow thats what your graphics predicting you do photoporphecy like no one in the world poor liverpools enemies,0,73,0,negative,"[""#Liverpool's"", '#PhotoPorphecy', ""#Liverpool's""]",1274,https://twitter.com/twitter/statuses/1521265800287596544
10,#Liverpool,AhmedLulat,2022-05-02 23:06:46,my liverpool team vs villarreal for the champions league semi final second leg alisson arnold konate vdijk robo keita fabinho thiago salah origi mane klopp lfc liverpool ucl championsleague villiv,0,88,2,neutral,"['#Klopp', '#LFC', '#Liverpool', '#UCL', '#ChampionsLeague', '#VILLIV']",121,https://twitter.com/twitter/statuses/1521264967923687425
