,URL,Content_title,Contents,sentiment,word_search,word_count,same_domain,diff_domain
0,https://www.football365.com/news/arsenal-challenge-newcastle-duo-knock-on-door-49-5m-rated-star-napoli-ruiz,Arsenal challenge Newcastle as duo ‘knock on door’ for £49.5m-rated star,"According to reports, Arsenal and Newcastle United have ‘knocked on the door’ for Napoli midfielder Fabian Ruiz ahead of this summer. Ruiz was linked with a move to Newcastle during the January transfer window. The 26-year-old signed for Napoli in 2019 from La Liga side Real Betis. Arsenal, Arteta need to rediscover spark ahead of crunch run He has played over 150 times for Napoli across all competitions in just under four seasons. The centre-midfielder has grabbed six goals and three assists from his 28 Serie A outings this term. His form for Napoli led to him making his debut for Spain in 2019. He has been capped 15 times at senior level. Il Mattino (via Sport Witness) are reporting that Arsenal, Newcastle and Atletico Madrid are all ‘knocking on the door’ for the player’s services ahead of this summer. It is unclear what fee Napoli will demand for their midfielder. But he is valued at £49.5m by transfermarkt. Elsewhere, Arsenal forward Eddie Nketiah is out of contract this summer. He has revealed that he has been offered a new deal: “There have been offers of a new contract but at the moment my aim is to play football and play regularly,” Nketiah told The Beautiful Game podcast. “That’s my ambition and that’s what I hope to do but at the same time I’m at Arsenal, I love Arsenal.” He continued: “What I can say is just that I love the club. I’m a childhood supporter as well, people need to remember this. “It has always been my goal to be the number nine for Arsenal and that only. I think I’m good enough to do that and I’ve always been driven towards that. “What I will say is that I’m 100 per cent totally committed to the club and achieving their goals this season. “Whether I get five, 10, 15 starts I going to try and do as much as I can for the team and do well. I want to do well as much as they want to do well. “That’s my aim just do as well as I can until the end of the season and then see what the future holds after that.” ",positive,liverpool,0,29,24
1,https://www.football365.com/news/very-grateful-skipp-pens-new-long-term-tottenham-contract,‘Very grateful’ Skipp pens new long-term Tottenham contract,"It has been confirmed that Tottenham Hotspur midfielder Oliver Skipp has signed a new contract that runs until the end of the 2026/27 season. The midfielder has played 52 times for Tottenham since he made his senior debut for them in October 2018. “I never thought that young boy walking through (the club) at six, seven and then signing at under-nine would get to this stage,” Skipp stated in an interview posted on Spurs’ official Twitter account. Gossip: Haaland, Sterling updates; Kane and Eriksen reunion “I’m delighted to sign this new deal, it’s something I’m very grateful for. “It means a lot when you’ve grown up at this club. My whole family supports the club, and it means a lot when you step out in front of the crowd.” Skipp spent last season on loan at Norwich, playing 45 of their 46 league games as the Canaries won the Sky Bet Championship title. The England Under-21 international has gone on to make 28 appearances for Spurs this season, but has not featured since the end of January because of a pelvic injury. Skipp said: “In the first few months I had with the boss (Antonio Conte) when he came in I was really starting to improve and understand his philosophy. “You can see that in the team, everyone implementing his ideas. He is a coach who can push you and that really helps me wanting to go to the next level. “I want to get fit, that will happen, and when I’m back really push on from that first half of the season that I had. “I feel there’s a lot more in the next level I can get to and I’m really looking forward to showing that when I’m back. “Pre-season will be massive for me to show that I am 100 per cent right for next season and push on again.” ",positive,liverpool,0,28,22
2,https://www.football365.com/news/unfair-haaland-signing-provides-little-advantage-liverpool-pundit-man-city,‘Unfair’ Haaland signing provides ‘little advantage’ to Liverpool – pundit,"Man City signing Erling Haaland may provide Liverpool with a “little advantage” at the start of next season, according to their former player Rickie Lambert. The striker has scored 82 goals from his 85 appearances for Borussia Dortmund. He signed for them in 2020 from Red Bull Salzburg. Haaland to City could be sporting and sportswashing triumph It was always expected that Haaland would leave Dortmund this summer. His £63m release clause becomes active at the end of this campaign. It has been revealed this week that Man City have agreed terms with the forward. City will move back to the top of the Premier League if they beat Brighton on Wednesday night. It is also possible that they will face Liverpool in the final of this year’s Champions League. Lambert is of the belief that Haaland could “disrupt” Man City at the start of the 2022/23 season: “I think the way City play, I’m not too sure a big centre-forward will be good for them,” Lambert claimed (via Daily Star). “It might take them a while to get used to a new way of playing with them. I think it might disrupt them a little bit. “If one of these teams gets ahead early doors next season, it’s very hard these days for the other team to catch them. So, I think it could be a little advantage [for Liverpool]. “But I think in a year’s time Man City are going to be unstoppable. Because he [Haaland] will be settled in and it’s just going to be unfair. “It’s unfair that they’re bringing in these players every year, unbelievable players. But that Jurgen Klopp is not only able to keep up with them (City) but get the better of them many times is unbelievable.” Earlier this week, Pep Guardiola refused to speak on reports linking Man City with Haaland: “No answer to your question. I have another concern in my head to think what will happen in this club next season.” When asked whether they need a new striker in the summer, the City boss added: “We are playing without a striker. For many years I dont think about transfer windows especially when we have incredible things to play for.” ",positive,liverpool,3,33,23
3,https://www.football365.com/news/tottenham-eye-up-premier-league-duo-conte-targets-six-summer-signings-eriksen-tielemans,Tottenham eye up Prem duo as Conte ‘targets six summer signings’,"According to reports, Antonio Conte plans to tell Daniel Levy and Fabio Paratici that Tottenham Hotspur need six new players this summer. Conte has been Tottenham’s manager since November. He replaced former Wolves boss Nuno Espirito Santo, who only managed Spurs for 17 games. Gossip: Haaland, Sterling updates; Kane and Eriksen reunion Tottenham’s fortunes have improved since Conte took charge. They currently sit fourth in the Premier League table with six games to go. Spurs brought in Dejan Kulusevski and Rodrigo Bentanctur in January. Both have hit the ground running under Conte. The Telegraph are reporting that Conte will inform the club’s hierarchy that he needs six new players this summer. It is stated that they face a ‘homegrown player balancing act’. They could have a ‘depleted squadEurope next season if Levy and Paratici set their sights on the overseas transfer market’. The report adds that Spurs are ‘considering a move’ for Christian Eriksen. His contract at Brentford is due to expire in June. Leicester City star Youri Tielemans is noted as a target. Torino duo Gleison Bremer and Wilfried Singo, along with West Brom’s Sam Johnstone, are also mentioned as players Tottenham are looking at. Elsewhere, Dion Dublin believes Tottenham centre-half Eric Dier “doesn’t have a defensive brain”. Dier is a mainstay in the Tottenham defence having started 29 times in the Premier League this campaign. He has made over 300 appearances for the north Londoners since joining from Sporting Lisbon for £4.5m in 2014. Spurs were beaten 1-0 by Brighton at the Tottenham Hotspur Stadium on Saturday afternoon after Leandro Trossard found the back of the net late on. The Belgian winger skipped past Dier before finishing past Hugo Lloris to win it for the Seagulls. And former Aston Villa and Coventry City striker Dublin has hinted that Dier’s “midfielder’s brain” cost Spurs the match due to his role in the winning goal. “Dier doesn’t have a defensive brain,” said Dublin (via HITC). “He has a midfielder’s brain. That’s the way it is. He’s a midfield player, isn’t he?! “(Lewis) Dunk, for instance, he just stands up and takes it wherever it needs to be taken. You take it in the face. “As soon as you turn, that’s it. The goal is bigger. Then you can do whatever you want. “If you stay big, then you can push right or you can push left. As soon as he puts his feet together, which is what he did, then he couldn’t do anything at all. It’s silly things you know as a defender, which come natural to you.” ",positive,liverpool,0,34,23
4,https://www.football365.com/news/lingard-arsenal-clash-free-hit-manchester-united,Lingard: Arsenal clash is a ‘free hit’ for Manchester United,"Man Utd midfielder Jesse Lingard has urged his team to regroup ahead of Saturday’s crunch Premier League clash against Arsenal. The Red Devils were dismantled by Liverpool on Tuesday night, losing 4-0 at Anfield. Man Utd must go down Arsenal route, Rangnick is a ‘lame duck’ They are looking to bounce back at the Emirates on Saturday when they take on Mikel Arteta’s side. Asked if the match at their top-four rivals is now a must-win game, Lingard told MUTV: “Yeah, it’s another free hit. “We’ll go there with the mindset of winning, staying on the front foot, being intense, doing the basics and having that energy to go and win the game. “We need to work hard first before you can start playing, so win the individual battles and then we’ll win the game hopefully.” Lingard added: “Every time I put a United shirt on, I want to give 110 per cent, bring that energy to the team, the pressing. “Obviously Liverpool are a good team but I think second half we started a little bit brighter, we were on the front foot a bit more and it just gives us that little bit more intensity. “But we can’t be getting beat 4-0. It’s embarrassing, really. “It’s horrible,” he said of the loss at Anfield. “It’s horrible for the fans. “You can feel the pain when we’re on the pitch and you see the scoreline. It’s really disappointing. “We can only say sorry to the fans. I know they back us through thick and thin, which we appreciate as players. “We go into the Arsenal game now this week. We work hard throughout the week and however we train reflects how we play, so I think we can increase a little bit more intensity and energy in training as well.” Lingard is set to leave Old Trafford on a free transfer at the end of the season. He has only started four times in all competitions in 2021/22. “It’s difficult,” Lingard said of his season. “For me, I just want to play football. “It was great to play against Norwich the other week, I enjoyed it. I was getting into the rhythm of the game, obviously got brought off. “For this game, of course I was expecting to start again but Paul got injured and I came on early enough to play most of the game anyway. “I’m always ready, I’m always confident to play and as soon I stepped foot on the pitch I give 110 per cent for the shirt.” ",positive,liverpool,2,32,23
5,https://www.football365.com/news/there-have-been-offers-nketiah-opens-up-arsenal-future,‘There have been offers’ – Nketiah opens up on his Arsenal future,"Soon-to-be out of contract Arsenal striker Eddie Nketiah has opened up on his future ahead of the summer transfer window. The England U21 international progressed through the ranks at the Gunners. He has played 85 times for them at senior level. Arsenal, Arteta need to rediscover spark ahead of crunch run The 22-year-old started for the first time in the league this season over the weekend as Arsenal were beaten by Southampton. Nketiah’s future is in doubt with his current contract set to expire in June. Crystal Palace are said to be among the clubs interested in him. The player has admitted that it has always been a “goal” of his to be Arsenal’s number nine: “There have been offers of a new contract but at the moment my aim is to play football and play regularly,” Nketiah told The Beautiful Game podcast. “That’s my ambition and that’s what I hope to do but at the same time I’m at Arsenal, I love Arsenal.” He continued: “What I can say is just that I love the club. I’m a childhood supporter as well, people need to remember this. “It has always been my goal to be the number nine for Arsenal and that only. I think I’m good enough to do that and I’ve always been driven towards that. “What I will say is that I’m 100 per cent totally committed to the club and achieving their goals this season. “Whether I get five, 10, 15 starts I going to try and do as much as I can for the team and do well. I want to do well as much as they want to do well. “That’s my aim just do as well as I can until the end of the season and then see what the future holds after that.” Nketiah noted that he is open to switching allegiances to play for Ghana. But he insisted that he is focused on his contract status: “My club situation is the priority. At the moment, my full focus is on my club [Arsenal] and making sure I sort out things for next season. “Once that’s finished, then I can really sit down with my family and have that discussion. So it’s open to both [England and Ghana] and I am not closing the door to anything.” ",positive,liverpool,0,32,23
6,https://www.football365.com/news/west-ham-given-free-run-england-keeper-arsenal-spurs-pull-out-pope-burnley,"West Ham given free run at England ‘keeper – Arsenal, Spurs pull out","West Ham are reportedly keen on signing Burnley goalkeeper Nick Pope, with Tottenham and Arsenal also linked. Pope has been at Turf Moor since joining from Charlton Athletic for around £1m in 2016. Man Utd must go down Arsenal route, Rangnick is a ‘lame duck’ He is approaching his 150th Burnley appearance and recently played the full 90 minutes for England in a friendly victory against the Ivory Coast. West Ham are keen on bringing in a new goalkeeper this summer with Alphonse Areola’s loan ending at the end of 2021/22. Lukasz Fabianski is out of contract at the same time, meaning David Moyes will be without a senior goalkeeper next season as things stand. The Hammers do have the opportunity to sign Areola permanently for around £10.5m. Pope is expected to leave Burnley if they are relegated to the Championship and the Clarets are reportedly looking for around £12m. The 30-year-old’s contract expires in 2023 with his club having the option to extend his deal a further year. According to The Times, West Ham have turned their attention to Pope after Moyes decided not to pursue a deal for West Brom’s Sam Johnstone. Arsenal and Tottenham both considered signing Pope but have opted against bringing him in due to his ability with the ball at his feet. Last summer, the Gunners bought Aaron Ramsdale who has since claimed the No. 1 shirt from Bernd Leno. They also signed American shot-stopper Matt Turner in the winter window. Turner will join up with his new teammates in July. Elsewhere,Michael Owen is predicting an “improved performance” from Arsenal against Chelsea on Wednesday night. “The pressure is mounting on Mikel Arteta and Arsenal,” Owen said. “After Spurs dropped points earlier, to lose away to Southampton was a disaster. “That’s now three defeats in a row. The glaring worry is the lack of goals, could letting [Pierre-Emerick] Aubameyang leave in January come back to haunt them? “I have to fancy Chelsea here. I think we’ll see an improved performance from Arsenal, but it won’t be enough.” ",negative,liverpool,0,29,23
7,https://www.football365.com/news/van-basten-concerned-ten-hag-labels-man-utd-stars-beaten-people,"Van Basten concerned for Ten Hag, labels Man Utd stars ‘beaten people’","Marco van Basten believes there is a “huge difference” between Man Utd and Liverpool following United’s 4-0 loss at Anfield. The 2021/22 campaign has been a torrid one for the Red Devils. On Tuesday night, they were hammered 4-0 at Anfield by Liverpool. Earlier this season, Jurgen Klopp’s side smashed five goals past Man Utd at Old Trafford. Liverpool 4-0 Manchester United: The Mediawatch Man Utd currently sit sixth in the Premier League with five games to go. Ralf Rangnick is their interim boss. It was revealed earlier this week that Ten Hag is set to be announced as United’s new manager. He has been Ajax’s boss since 2017. Van Basten thinks Ten Hag may have “doubts about Manchester United”: “The difference between Liverpool and Manchester United at the moment is huge, they walked around like beaten people,” van Basten told Ziggo Sport. “They are one of the biggest clubs in England but not one of them showed anything. “Maguire passes the ball in the same way and thinks, ‘I don’t know, are you doing it?’ “They are not thinking about solutions, it’s unbelievable. “You have to ask yourself whether Manchester United have doubts about Ten Hag or whether Ten Hag has doubts about Manchester United. “This was really sad to see, at such a big club.” Rio Ferdinand believes three Man Utd players in particular were a “shambles” against Liverpool: “Wow. I hate to be negative about Manchester United but the fall from grace is unheralded. “It’s never been seen before. It’s alarming but we’ve all seen it coming. A big, big rebuild needs to happen. “It was embarrassing. I want to see some passion and desire. That game yesterday showed how far United are behind. You can go through it from No. 1 to 11 and it was poor. “The whole team were a shambles. Every goal you can pick someone out. There was no awareness, the two full-backs Wan-Bissaka and Dalot not following their men. “Maguire in no man’s land, not tight enough to the striker, not covering the run, in the middle of nowhere. People will say you shouldn’t single out people but it was embarrassing yesterday.” ",negative,liverpool,5,33,23
8,https://www.football365.com/news/neville-doubts-revolution-scouts-lawlor-bout-depart-man-utd,Neville doubts ‘revolution’ as two top scouts depart Man Utd,"Man Utd chief scout Jim Lawlor and head of global scouting Marcel Bout have left the club ahead of the summer rebuild. The Red Devils are reeling from Tuesday’s chastening 4-0 defeat at rivals Liverpool, where the chasm in quality between the clubs was clear from the outset. Interim manager Ralf Rangnick said after the match that United needed as many as 10 new players to order to close the gap and a shake-up to the recruitment team was announced the following day. Man Utd must go down Arsenal route, Rangnick is a ‘lame duck’ Chief scout Lawlor has decided to end his long association with the club and Bout, who came to Old Trafford as part of Louis van Gaal’s backroom team in 2014, has also left. A Man Utd spokesperson said: “Jim Lawlor has decided to step down from his role as chief scout in the summer after 16 years with the club. “During that time, Jim played a key role in the development of multiple trophy-winning Manchester United teams and was an important source of guidance to Sir Alex Ferguson and each of the managers who have followed him. “Jim leaves the club with our warmest thanks for his significant contribution and our very best wishes for the future. Not quite sure we’re going to see a revolution. Jim has been marginalised for years so this won’t shift the dial. https://t.co/LcVeng5eiW — Gary Neville (@GNev2) April 20, 2022 “Marcel Bout has departed from his role as head of global scouting after eight years with the club. “A respected figure within and outside of Manchester United, Marcel has played an important part as an assistant coach and in the strengthening of our scouting capabilities in recent years. “Marcel leaves the club with our warmest thanks for his significant contribution and our very best wishes for the future.” Former Man Utd defender Gary Neville responded to the news by writing on Twitter: “Not quite sure we’re going to see a revolution. Jim has been marginalised for years so this won’t shift the dial.”  ",positive,liverpool,1,32,24
9,https://www.football365.com/news/carragher-reveals-ferguson-worried-klopp-liverpool-manchester-united,Carragher reveals Fergie was ‘worried’ by Klopp at Liverpool,"Jamie Carragher says Sir Alex Ferguson told him in Jurgen Klopp’s early days as Liverpool manager that he was “worried” by the German boss. The legendary manager was right to have his concerns with Manchester United and the Reds heading in opposite directions ever since. Man Utd were thrashed at Anfield 4-0 by Liverpool on Tuesday night, a game which further emphasised the current gulf in class of the two sides. Liverpool 4-0 Man United: The Mailbox And Carragher has recalled a conversation he had with Ferguson after Michael Carrick’s testimonial in which the Man Utd great revealed he was “worried” by Klopp. “When you think of those managers, and I always think with the great managers, and we never had one who was acclaimed like a Ferguson, or what Jose [Mourinho] was atChelsea, or what [Arsene] Wenger was atArsenal, that’s what Klopp is right now,” Carragher said on The Gary Neville Podcast. “I used to always feel [with] those managers, there was the fear but there was also the love – so the never wanted to let them down but they were absolutely terrified of them. “So when you seeJurgen Klopp, he’s bigger than any player. If you ask any Liverpool player who they would want to lose – Van Dijk or Jurgen Klopp, they’d say Van Dijk, I can absolutely assure you. Jurgen Klopp is an absolute god here, but with the players as well. “You can see and feel that energy from the side of the pitch. When Jurgen Klopp first came to Liverpool we knew he was a character, he was a personality, I actually said at the time this wasn’t a signing just for Liverpool, it was for the Premier League. “You knew there was something special. I played in a game at Old Trafford, I think it was Michael Carrick’s testimonial, and Alex Ferguson went around the dressing room shaking hands, saying ‘thanks for coming’, I think he was manager of one of the teams. “Jurgen Klopp had been at the club about a month and he [Ferguson] came to me and said, ‘you’ve got a manager’. I went, ‘oh yeah, good, Jurgen Klopp’s made a decent start’, and he [Ferguson] went, ‘no, no, I’m worried’.” ",positive,liverpool,6,34,23
